Site,Building,Hall,HallDetail,Temp Min,Temp Max,Hum Min,Hum Max,Inter SLA T Lower,Inter SLA T Upper,Inter SLA H Lower,Inter SLA H Upper
OSA1,B1,Hall 301,DH301,10,35,5,80,26.7,35,70,80
OSA1,B1,Hall 401,DH401,10,35,5,80,26.7,35,70,80
OSA1,B1,Hall 501,DH501,10,35,5,80,26.7,35,70,80
OSA1,B1,Hall 502,DH502,10,35,5,80,26.7,35,70,80
OSA1,B1,Hall 302,DH302,10,35,5,80,26.7,35,70,80
OSA1,B1,Hall 402,DH402,10,35,5,80,26.7,35,70,80
PAR1,B1,DH04,DH04,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH04_DH05,DH04_DH05,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH05,DH05,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH06,DH06,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH06_DH07,DH06_DH07,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH06_DH07_DH08_DH09,DH06_DH07_DH08_DH09,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH07,DH07,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH08,DH08,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH08_DH09,DH08_DH09,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B1,DH09,DH09,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B2,DH10,DH10,18.3,18.5,10,80,26.7,33.9,70,80
PAR1,B2,DH11,DH11,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B2,DH12,DH12,18.3,33.9,10,80,26.7,33.9,70,80
PAR1,B2,DH13,DH13,18.3,33.9,10,80,26.7,33.9,70,80
LON3,B1,LP,LP,18.3,33.9,10,80,,,,
LON3,B1,Lodge,Lodge,18,27,20,80,,,,
LON3,B1,Hall_1,DH01,18,24,40,65,,,,
LON3,B1,Hall_2,DH02,18,24,40,65,,,,
LON3,B1,Hall_3,DH03,18,27,20,80,,,,
LON3,B1,Hall_4,DH04,18,27,20,80,,,,
LON3,B1,Hall_5,DH05,18,27,20,80,,,,
LON3,B1,Hall_6,DH06,18.3,33.8,10,80,,,,
LON3,B1,Hall_7,DH07,18,27,20,80,,,,
LON3,B1,Hall_8,DH08,18,27,20,80,,,,
LON3,B1,Hall_9,DH09,18,27,20,80,,,,
LON3,B1,Hall_10,DH10,18.3,33.8,10,80,,,,
LON3,B1,Hall_11,DH11,18,27,20,80,,,,
LON3,B1,Hall_12,DH12,18,27,20,80,,,,
LON3,B1,Hall_13,DH13,18.3,33.8,10,80,,,,
LON3,B1,Hall_14,DH14,18.3,33.8,10,80,,,,
LON3,B1,Hall_15,DH15,18.3,33.8,10,80,,,,
LON3,B1,Hall_16,DH16,18.3,33.8,10,80,,,,
LON3,B1,Hall_17,DH17,18.3,33.8,10,80,,,,
LON3,B1,Hall_18,DH18,18.3,33.8,10,80,,,,
LON3,B1,Hall_19,DH19,18.3,33.8,10,80,,,,
LON3,B1,Hall_20,DH20,18.3,33.8,10,80,,,,
LON3,B1,Hall_21,DH21,18,27,20,80,,,,
LON3,B1,Hall_22,DH22,18,27,20,80,,,,
LON3,B1,Hall_23,DH23,18.3,33.8,10,80,,,,
LON3,B1,Hall_24,DH24,18.3,33.8,10,80,,,,
LON3,B1,Hall_25,DH25,18.3,33.8,10,80,,,,
LON3,B1,Hall_26,DH26,18.3,33.8,10,80,,,,
LON2,B1,FDC2,FDC2,18,27,25,65,,,,
LON2,B1,IDC3,IDC3,18,27,25,65,,,,
LON2,B1,IDC5,IDC5,18,27,25,65,,,,
LON2,B1,IDC6,IDC6,18,27,25,65,,,,
LON2,B1,IDC7,IDC7,18,27,30,65,,,,
INZ2,B1,301,SR301B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,302,SR302B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,401,SR401B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,402,SR402B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,501,SR501B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,502,SR502B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,601,SR601B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,602,SR602B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,701,SR701B,18.3,33.9,10,80,26.7,33.9,70,80
INZ2,B1,702,SR702B,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,303,SR301C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,304,SR302C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,403,SR401C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,404,SR402C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,503,SR501C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,504,SR502C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,603,SR601C,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,604,SR602C-1,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,SR602C-2,SR602C-2,18.3,33.9,10,80,26.7,33.9,70,80
INZ3,B1,SR702C,SR702C,18.3,33.9,10,80,26.7,33.9,70,80
